Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Adopted core paths,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/adopted-core-paths.kmz,NULL,13/01/2021,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Burial grounds,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/burial_grounds.kmz,NULL,11/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Car parks,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/car_parks.kmz,NULL,11/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Committee areas boundaries within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_council_committee_areas.kmz,NULL,12/09/2019,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Community councils within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,http://publications.aberdeenshire.gov.uk/dataset/547fa35e-fb95-49e8-a0a2-281541dbc8a9/resource/a2d0dfbb-5f40-46ed-9a49-8aa45fabf1d6/download/communitycouncils24052023.kmz,NULL,24/05/2023,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Contracts register,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,http://publications.aberdeenshire.gov.uk/dataset/4211e6c6-db94-429a-adf9-c19f8a57a3a0/resource/f9b3de55-2b3f-44b9-acfc-66b3cd12df6b/download/aberdeenshire-council-contracts-register.csv,NULL,03/04/2023,0,B,CSV,NULL,NULL,NULL,Open Government,NULL
Cooling tower register,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/csv/cooling-towers-register.csv,NULL,23/11/2018,0,B,CSV,NULL,NULL,NULL,Open Government,NULL
Cycle routes across Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_cycle_routes.kmz,NULL,15/02/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Glass and textiles recycling points,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/recycling_points.kmz,NULL,13/02/2019,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Grit bin locations,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/grit_bins.kmz,NULL,11/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Gritting routes within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/gritting_roads_main_and_secondary.kmz,NULL,22/12/2020,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Gritting routes within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/gritting_footways_priorities_1_and_2.kmz,NULL,22/12/2020,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Harbours (owned by the council),Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/harbours.kmz,NULL,12/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Housing Land Audit,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,http://publications.aberdeenshire.gov.uk/dataset/5f628e3e-d8df-4db1-89cb-cbf17976600e/resource/32728977-ff10-450d-ab40-95cde915fe88/download/housinglandaudit2023.kmz,NULL,06/02/2023,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Leisure and community centres,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/community_centres.kmz,NULL,18/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Local nature reserves within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_local_nature_reserves.kmz,NULL,14/02/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Museums,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/museums.kmz,NULL,12/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Offices open to the public,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/council_offices.kmz,NULL,12/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Polling district boundaries within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_polling_districts.kmz,NULL,01/04/2022,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Polling place locations within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_polling_places.kmz,NULL,22/04/2022,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Public toilets,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/public_toilets.kmz,NULL,11/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Recycling centres,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/recycling_centres.kmz,NULL,18/10/2018,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/opendata/kml/WindTurbineApplications.kmz,NULL,27/09/2022,0,B,KMZ,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/opendata/csv/WindTurbineApplications.csv,NULL,27/09/2022,0,B,CSV,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/WindTurbineApplications.zip,NULL,27/09/2022,0,B,ZIP,NULL,NULL,NULL,Open Government,NULL
